"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"104","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"105","DDI022",2020,"2. Semestre","COMPUTAÇÃO GRÁFICA II","Reprovado",2,"Ciência da Computação - Bacharelado","Inativo"
"106","DLSC0001",2023,"1. Semestre","COMPUTAÇÃO QUÂNTICA","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"107","DLSC808",2021,"1. Semestre","INTERNET DAS COISAS","Reprovado",5,"Ciência da Computação - Bacharelado","DCG"
"108","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"109","DLSC808",2021,"2. Semestre","INTERNET DAS COISAS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"110","DLSC808",2023,"2. Semestre","INTERNET DAS COISAS","Aprovado",10,"Ciência da Computação - Bacharelado","DCG"
"111","DLSC808",2021,"2. Semestre","INTERNET DAS COISAS","Aprovado",3,"Ciência da Computação - Bacharelado","DCG"
"112","DLSC808",2020,"1. Semestre","INTERNET DAS COISAS","Incompleto",3,"Ciência da Computação - Bacharelado","DCG"
"113","DLSC808",2023,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"114","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Aprovado",16,"Ciência da Computação - Bacharelado","DCG"
"115","DLSC808",2021,"1. Semestre","INTERNET DAS COISAS","Aprovado",5,"Ciência da Computação - Bacharelado","DCG"
"116","DLSC808",2020,"1. Semestre","INTERNET DAS COISAS","Aprovado",6,"Ciência da Computação - Bacharelado","DCG"
"117","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"118","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Aprovado",6,"Ciência da Computação - Bacharelado","DCG"
"119","DLSC808",2022,"1. Semestre","INTERNET DAS COISAS","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
"120","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"121","DLSC811",2023,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"122","DLSC811",2020,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Incompleto",11,"Ciência da Computação - Bacharelado","DCG"
"123","DLSC811",2022,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",5,"Ciência da Computação - Bacharelado","DCG"
"124","DLSC811",2021,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"125","DLSC811",2021,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
"126","DLSC811",2022,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"127","DLSC811",2020,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
"128","DLSC811",2023,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",15,"Ciência da Computação - Bacharelado","DCG"
"129","DLSC812",2023,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Reprovado",4,"Ciência da Computação - Bacharelado","DCG"
"130","DLSC812",2021,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"131","DLSC812",2023,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"132","DLSC812",2023,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",25,"Ciência da Computação - Bacharelado","DCG"
"133","DLSC812",2022,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"134","DLSC812",2022,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",19,"Ciência da Computação - Bacharelado","DCG"
"135","DLSC812",2020,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Incompleto",2,"Ciência da Computação - Bacharelado","DCG"
"136","DLSC812",2020,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",6,"Ciência da Computação - Bacharelado","DCG"
"137","DLSC812",2021,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",17,"Ciência da Computação - Bacharelado","DCG"
"138","DLSC813",2020,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Tr.Parcial",3,"Ciência da Computação - Bacharelado","DCG"
"139","DLSC813",2020,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Incompleto",10,"Ciência da Computação - Bacharelado","DCG"
"140","DLSC813",2023,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Aprovado",4,"Ciência da Computação - Bacharelado","DCG"
"141","DLSC813",2022,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Aprovado",4,"Ciência da Computação - Bacharelado","DCG"
"142","DLSC813",2022,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Reprovado",4,"Ciência da Computação - Bacharelado","DCG"
"143","DLSC813",2021,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"144","DLSC813",2023,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Reprovado",5,"Ciência da Computação - Bacharelado","DCG"
"145","DLSC813",2021,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"146","DLSC815",2023,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"147","DLSC815",2023,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",5,"Ciência da Computação - Bacharelado","DCG"
"148","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"149","DLSC815",2020,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",7,"Ciência da Computação - Bacharelado","DCG"
"150","DLSC815",2020,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
